,year,region,deaths
812,1998,Midlothian,12
813,1999,Midlothian,13
814,2000,Midlothian,14
815,2001,Midlothian,11
816,2002,Midlothian,18
817,2003,Midlothian,15
818,2004,Midlothian,20
819,2005,Midlothian,19
820,2006,Midlothian,12
821,2007,Midlothian,11
822,2008,Midlothian,13
823,2009,Midlothian,6
824,2010,Midlothian,11
825,2011,Midlothian,13
826,2012,Midlothian,14
827,2013,Midlothian,11
828,2014,Midlothian,8
829,2015,Midlothian,14
830,2016,Midlothian,16
831,2017,Midlothian,15
832,2018,Midlothian,23
833,2019,Midlothian,16
834,2020,Midlothian,18
835,2021,Midlothian,18
836,2022,Midlothian,17
837,1979,Moray,7
838,1980,Moray,4
839,1981,Moray,2
840,1982,Moray,1
841,1983,Moray,6
842,1984,Moray,7
843,1985,Moray,10
844,1986,Moray,7
845,1987,Moray,5
846,1988,Moray,5
847,1989,Moray,7
848,1990,Moray,9
849,1991,Moray,8
850,1992,Moray,4
851,1993,Moray,5
852,1994,Moray,8
853,1995,Moray,11
854,1996,Moray,14
855,1997,Moray,17
856,1998,Moray,11
857,1999,Moray,14
858,2000,Moray,16
859,2001,Moray,18
860,2002,Moray,13
861,2003,Moray,22
862,2004,Moray,22
863,2005,Moray,14
864,2006,Moray,20
865,2007,Moray,17
866,2008,Moray,22
867,2009,Moray,22
868,2010,Moray,15
869,2011,Moray,14
870,2012,Moray,19
871,2013,Moray,19
872,2014,Moray,11
873,2015,Moray,14
874,2016,Moray,20
875,2017,Moray,18
876,2018,Moray,16
877,2019,Moray,15
878,2020,Moray,11
879,2021,Moray,10
880,2022,Moray,13
881,1979,Na h-Eileanan Siar,2
882,1980,Na h-Eileanan Siar,2
883,1981,Na h-Eileanan Siar,2
884,1982,Na h-Eileanan Siar,3
885,1983,Na h-Eileanan Siar,0
886,1984,Na h-Eileanan Siar,3
887,1985,Na h-Eileanan Siar,5
888,1986,Na h-Eileanan Siar,2
889,1987,Na h-Eileanan Siar,2
890,1988,Na h-Eileanan Siar,2
891,1989,Na h-Eileanan Siar,5
892,1990,Na h-Eileanan Siar,1
893,1991,Na h-Eileanan Siar,0
894,1992,Na h-Eileanan Siar,2
895,1993,Na h-Eileanan Siar,3
896,1994,Na h-Eileanan Siar,3
897,1995,Na h-Eileanan Siar,8
898,1996,Na h-Eileanan Siar,6
899,1997,Na h-Eileanan Siar,3
900,1998,Na h-Eileanan Siar,5
901,1999,Na h-Eileanan Siar,8
902,2000,Na h-Eileanan Siar,3
903,2001,Na h-Eileanan Siar,3
904,2002,Na h-Eileanan Siar,9
905,2003,Na h-Eileanan Siar,13
906,2004,Na h-Eileanan Siar,10
907,2005,Na h-Eileanan Siar,12
908,2006,Na h-Eileanan Siar,10
909,2007,Na h-Eileanan Siar,4
910,2008,Na h-Eileanan Siar,8
911,2009,Na h-Eileanan Siar,9
912,2010,Na h-Eileanan Siar,6
913,2011,Na h-Eileanan Siar,7
914,2012,Na h-Eileanan Siar,8
915,2013,Na h-Eileanan Siar,8
916,2014,Na h-Eileanan Siar,17
917,2015,Na h-Eileanan Siar,11
918,2016,Na h-Eileanan Siar,8
919,2017,Na h-Eileanan Siar,8
920,2018,Na h-Eileanan Siar,13
921,2019,Na h-Eileanan Siar,5
922,2020,Na h-Eileanan Siar,6
923,2021,Na h-Eileanan Siar,9
924,2022,Na h-Eileanan Siar,16
925,1979,North Ayrshire,9
926,1980,North Ayrshire,5
927,1981,North Ayrshire,2
928,1982,North Ayrshire,5
929,1983,North Ayrshire,7
930,1984,North Ayrshire,5
931,1985,North Ayrshire,9
932,1986,North Ayrshire,12
933,1987,North Ayrshire,7
934,1988,North Ayrshire,16
935,1989,North Ayrshire,13
936,1990,North Ayrshire,11
937,1991,North Ayrshire,7
938,1992,North Ayrshire,8
939,1993,North Ayrshire,16
940,1994,North Ayrshire,9
941,1995,North Ayrshire,8
942,1996,North Ayrshire,26
943,1997,North Ayrshire,43
944,1998,North Ayrshire,19
945,1999,North Ayrshire,23
946,2000,North Ayrshire,26
947,2001,North Ayrshire,29
948,2002,North Ayrshire,38
949,2003,North Ayrshire,35
950,2004,North Ayrshire,40
951,2005,North Ayrshire,33
952,2006,North Ayrshire,42
953,2007,North Ayrshire,24
954,2008,North Ayrshire,37
955,2009,North Ayrshire,44
956,2010,North Ayrshire,31
957,2011,North Ayrshire,27
958,2012,North Ayrshire,22
959,2013,North Ayrshire,21
960,2014,North Ayrshire,29
961,2015,North Ayrshire,30
962,2016,North Ayrshire,30
963,2017,North Ayrshire,35
964,2018,North Ayrshire,32
965,2019,North Ayrshire,50
966,2020,North Ayrshire,44
967,2021,North Ayrshire,37
968,2022,North Ayrshire,29
969,1979,North Lanarkshire,23
